stem,type,orig_class,expert_class,iou
46,missing_in_expert,helmet,(none),
46,missing_in_expert,cyclist_clothes,(none),
46,missing_in_expert,bicycle,(none),
DSC01859,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC01859,missing_in_expert,competidor_number,(none),
DSC01859,missing_in_expert,cyclist_clothes,(none),
DSC01859,missing_in_expert,cyclist_clothes,(none),
DSC01859,missing_in_expert,cyclist_clothes,(none),
DSC01859,extra_in_expert,(none),competidor_number,
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
8D72B4DB-A8CB-4937-AE5A-00C6E37F3EE1_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
_MG_5421,missing_in_expert,cyclist_with_bike,(none),
_MG_5421,missing_in_expert,helmet,(none),
_MG_5421,missing_in_expert,cyclist_clothes,(none),
_MG_5421,missing_in_expert,cyclist_clothes,(none),
_MG_5421,missing_in_expert,cyclist_clothes,(none),
_MG_5421,missing_in_expert,cyclist_clothes,(none),
_MG_5421,extra_in_expert,(none),cyclist_clothes,
_MG_5421,extra_in_expert,(none),cyclist_clothes,
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,helmet,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
8F072D1D-BE3E-490B-8226-51F345D807F5_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
DSC_0098,missing_in_expert,helmet,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0098,missing_in_expert,competidor_number,(none),
DSC_0098,missing_in_expert,bicycle,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,missing_in_expert,cyclist_clothes,(none),
DSC_0098,extra_in_expert,(none),competidor_number,
DSC_0098,extra_in_expert,(none),competidor_number,
DSC05261,class_swap,helmet,cyclist_with_bike,0.963
DSC05261,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05261,missing_in_expert,competidor_number,(none),
DSC05261,missing_in_expert,helmet,(none),
DSC05261,missing_in_expert,cyclist_clothes,(none),
DSC05261,missing_in_expert,cyclist_clothes,(none),
DSC05261,missing_in_expert,cyclist_clothes,(none),
DSC05261,missing_in_expert,cyclist_clothes,(none),
DSC05261,extra_in_expert,(none),competidor_number,
sultana_132,missing_in_expert,helmet,(none),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,expert_skipped_redundant_cyclist,cyclist,(skipped),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,missing_in_expert,cyclist_clothes,(none),
sultana_132,missing_in_expert,competidor_number,(none),
sultana_132,expert_skipped_redundant_cyclist,cyclist,(skipped),
sultana_132,extra_in_expert,(none),competidor_number,
DSC05721,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05721,missing_in_expert,helmet,(none),
DSC05721,missing_in_expert,helmet,(none),
DSC05721,missing_in_expert,cyclist_clothes,(none),
DSC05721,missing_in_expert,cyclist_clothes,(none),
DSC05721,missing_in_expert,cyclist_clothes,(none),
DSC05721,missing_in_expert,competidor_number,(none),
DSC05721,extra_in_expert,(none),competidor_number,
DSC05664,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05664,missing_in_expert,cyclist_clothes,(none),
DSC05664,missing_in_expert,cyclist_clothes,(none),
DSC05664,missing_in_expert,cyclist_clothes,(none),
DSC05664,missing_in_expert,helmet,(none),
DSC05664,missing_in_expert,helmet,(none),
DSC05664,extra_in_expert,(none),competidor_number,
DSC05209,class_swap,helmet,competidor_number,0.814
DSC05209,missing_in_expert,competidor_number,(none),
DSC05209,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05209,missing_in_expert,cyclist_clothes,(none),
DSC05209,missing_in_expert,cyclist_clothes,(none),
DSC05209,missing_in_expert,cyclist_clothes,(none),
DSC05209,missing_in_expert,cyclist_with_bike,(none),
DSC05209,missing_in_expert,helmet,(none),
DSC05209,missing_in_expert,bicycle,(none),
DSC05209,extra_in_expert,(none),cyclist_clothes,
DSC05209,extra_in_expert,(none),cyclist_clothes,
DSC05590,missing_in_expert,competidor_number,(none),
DSC05590,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05590,missing_in_expert,cyclist_clothes,(none),
DSC05590,missing_in_expert,helmet,(none),
DSC05590,missing_in_expert,helmet,(none),
DSC05590,missing_in_expert,cyclist_clothes,(none),
DSC05590,missing_in_expert,cyclist_clothes,(none),
DSC05590,extra_in_expert,(none),competidor_number,
DSC05211,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05211,missing_in_expert,competidor_number,(none),
DSC05211,missing_in_expert,cyclist_clothes,(none),
DSC05211,missing_in_expert,cyclist_clothes,(none),
DSC05211,missing_in_expert,cyclist_with_bike,(none),
DSC05211,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05211,missing_in_expert,bicycle,(none),
DSC05211,missing_in_expert,helmet,(none),
DSC05211,extra_in_expert,(none),competidor_number,
DSC05211,extra_in_expert,(none),cyclist_clothes,
DSC05211,extra_in_expert,(none),cyclist_clothes,
DSC05547,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05547,missing_in_expert,helmet,(none),
DSC05496,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05496,missing_in_expert,competidor_number,(none),
DSC05496,missing_in_expert,cyclist_clothes,(none),
DSC05496,missing_in_expert,helmet,(none),
DSC05496,missing_in_expert,cyclist_clothes,(none),
DSC05496,missing_in_expert,cyclist_clothes,(none),
DSC05496,missing_in_expert,cyclist_clothes,(none),
DSC05496,extra_in_expert,(none),competidor_number,
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,expert_skipped_redundant_cyclist,cyclist,(skipped),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,missing_in_expert,cyclist_clothes,(none),
sultana_108,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0351,missing_in_expert,cyclist_clothes,(none),
DSC_0351,missing_in_expert,cyclist_clothes,(none),
DSC_0351,missing_in_expert,cyclist_clothes,(none),
DSC_0351,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0351,missing_in_expert,bicycle,(none),
DSC01837,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC01837,missing_in_expert,bicycle,(none),
DSC01837,missing_in_expert,competidor_number,(none),
DSC01837,missing_in_expert,cyclist_clothes,(none),
DSC01837,missing_in_expert,cyclist_clothes,(none),
DSC01837,missing_in_expert,cyclist_clothes,(none),
DSC01837,extra_in_expert,(none),competidor_number,
DSC01837,extra_in_expert,(none),cyclist_clothes,
DSC_0096,missing_in_expert,cyclist_clothes,(none),
DSC_0096,missing_in_expert,cyclist_clothes,(none),
DSC_0096,missing_in_expert,cyclist_clothes,(none),
DSC_0096,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0096,missing_in_expert,competidor_number,(none),
DSC_0096,missing_in_expert,cyclist_clothes,(none),
DSC_0096,missing_in_expert,cyclist_clothes,(none),
DSC_0096,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0096,extra_in_expert,(none),competidor_number,
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,missing_in_expert,competidor_number,(none),
CD428EF7-5158-45CF-8ECE-09D8F95BDE8C_1_105_c_jpeg,extra_in_expert,(none),competidor_number,
DSC05885,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05885,missing_in_expert,helmet,(none),
DSC05885,missing_in_expert,cyclist_clothes,(none),
DSC05885,missing_in_expert,cyclist_clothes,(none),
DSC05885,missing_in_expert,cyclist_clothes,(none),
DSC05370,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05370,missing_in_expert,cyclist_clothes,(none),
DSC05370,missing_in_expert,cyclist_clothes,(none),
DSC05370,missing_in_expert,cyclist_clothes,(none),
DSC05370,missing_in_expert,helmet,(none),
DSC_0084,missing_in_expert,cyclist_clothes,(none),
DSC_0084,missing_in_expert,cyclist_clothes,(none),
DSC_0084,missing_in_expert,cyclist_clothes,(none),
DSC_0084,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0544,class_swap,cyclist,cyclist_clothes,0.727
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0544,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,cyclist_with_bike,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,competidor_number,(none),
DSC_0248,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0248,missing_in_expert,helmet,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,missing_in_expert,cyclist_clothes,(none),
DSC_0248,extra_in_expert,(none),competidor_number,
DSC01834,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC01834,missing_in_expert,cyclist_clothes,(none),
DSC01834,missing_in_expert,cyclist_clothes,(none),
DSC01834,missing_in_expert,cyclist_clothes,(none),
DSC01834,missing_in_expert,cyclist_clothes,(none),
DSC01834,missing_in_expert,competidor_number,(none),
DSC01834,extra_in_expert,(none),competidor_number,
DSC01834,extra_in_expert,(none),cyclist_clothes,
DSC01834,extra_in_expert,(none),cyclist_clothes,
DSC_0576,missing_in_expert,cyclist_clothes,(none),
DSC_0576,missing_in_expert,cyclist_clothes,(none),
DSC_0576,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0576,missing_in_expert,competidor_number,(none),
DSC_0576,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0576,missing_in_expert,helmet,(none),
DSC_0576,missing_in_expert,cyclist_clothes,(none),
DSC_0576,missing_in_expert,cyclist_clothes,(none),
DSC_0576,missing_in_expert,cyclist_clothes,(none),
DSC_0576,extra_in_expert,(none),competidor_number,
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,missing_in_expert,helmet,(none),
14C013D7-AE7B-4A7C-BCBC-8D344EE35178_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
_MG_5260,missing_in_expert,cyclist_clothes,(none),
_MG_5260,missing_in_expert,cyclist_clothes,(none),
_MG_5260,missing_in_expert,cyclist_clothes,(none),
_MG_5260,missing_in_expert,cyclist_clothes,(none),
_MG_5260,expert_skipped_redundant_cyclist,cyclist,(skipped),
_MG_5260,missing_in_expert,competidor_number,(none),
_MG_5260,extra_in_expert,(none),competidor_number,
DSC_0134,missing_in_expert,cyclist_clothes,(none),
DSC_0134,missing_in_expert,cyclist_clothes,(none),
DSC_0134,missing_in_expert,cyclist_clothes,(none),
DSC_0134,missing_in_expert,cyclist_clothes,(none),
DSC_0134,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05205,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05205,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05205,missing_in_expert,cyclist_clothes,(none),
DSC05205,missing_in_expert,cyclist_clothes,(none),
DSC05205,missing_in_expert,cyclist_clothes,(none),
DSC05205,missing_in_expert,cyclist_clothes,(none),
DSC05205,missing_in_expert,cyclist_clothes,(none),
DSC05205,extra_in_expert,(none),helmet,
DSC05205,extra_in_expert,(none),cyclist_clothes,
P1094562,expert_skipped_redundant_cyclist,cyclist,(skipped),
P1094562,missing_in_expert,competidor_number,(none),
P1094562,missing_in_expert,cyclist_clothes,(none),
P1094562,missing_in_expert,cyclist_clothes,(none),
P1094562,missing_in_expert,cyclist_clothes,(none),
P1094562,missing_in_expert,cyclist_clothes,(none),
P1094562,extra_in_expert,(none),competidor_number,
el_calvario_026,expert_skipped_redundant_cyclist,cyclist,(skipped),
el_calvario_026,missing_in_expert,cyclist_clothes,(none),
el_calvario_026,missing_in_expert,cyclist_clothes,(none),
el_calvario_026,missing_in_expert,cyclist_clothes,(none),
el_calvario_026,missing_in_expert,competidor_number,(none),
el_calvario_026,missing_in_expert,cyclist_clothes,(none),
el_calvario_026,extra_in_expert,(none),competidor_number,
DSC01867,missing_in_expert,helmet,(none),
DSC01867,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC01867,missing_in_expert,cyclist_clothes,(none),
DSC01867,missing_in_expert,cyclist_clothes,(none),
DSC01867,missing_in_expert,cyclist_clothes,(none),
DSC01867,missing_in_expert,cyclist_clothes,(none),
DSC01867,missing_in_expert,competidor_number,(none),
DSC01867,extra_in_expert,(none),competidor_number,
DSC01867,extra_in_expert,(none),cyclist_clothes,
DSC01867,extra_in_expert,(none),cyclist_clothes,
DSC05622,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05622,missing_in_expert,helmet,(none),
DSC05622,missing_in_expert,cyclist_clothes,(none),
DSC05622,missing_in_expert,cyclist_clothes,(none),
DSC05622,missing_in_expert,cyclist_clothes,(none),
sultana_140,missing_in_expert,helmet,(none),
sultana_140,missing_in_expert,cyclist_clothes,(none),
sultana_140,missing_in_expert,cyclist_clothes,(none),
sultana_140,missing_in_expert,cyclist_clothes,(none),
sultana_140,missing_in_expert,cyclist_clothes,(none),
sultana_140,expert_skipped_redundant_cyclist,cyclist,(skipped),
sultana_140,extra_in_expert,(none),cyclist_clothes,
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,missing_in_expert,helmet,(none),
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
6E3F667C-6626-4C5F-BE10-084C281EA4B7_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
P1093874,missing_in_expert,helmet,(none),
P1093874,expert_skipped_redundant_cyclist,cyclist,(skipped),
P1093874,missing_in_expert,competidor_number,(none),
P1093874,missing_in_expert,cyclist_clothes,(none),
P1093874,missing_in_expert,cyclist_clothes,(none),
P1093874,missing_in_expert,cyclist_clothes,(none),
P1093874,missing_in_expert,cyclist_clothes,(none),
P1093874,extra_in_expert,(none),competidor_number,
DSC05180,missing_in_expert,helmet,(none),
DSC05180,missing_in_expert,cyclist_clothes,(none),
DSC05180,missing_in_expert,cyclist_clothes,(none),
DSC05180,missing_in_expert,cyclist_clothes,(none),
DSC05180,missing_in_expert,cyclist_clothes,(none),
DSC05180,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05180,extra_in_expert,(none),cyclist_clothes,
DSC05624,missing_in_expert,helmet,(none),
DSC05624,missing_in_expert,cyclist_clothes,(none),
DSC05624,missing_in_expert,cyclist_clothes,(none),
DSC05624,missing_in_expert,cyclist_clothes,(none),
DSC05624,missing_in_expert,cyclist_clothes,(none),
DSC05624,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05624,extra_in_expert,(none),cyclist_clothes,
_MG_5439,missing_in_expert,helmet,(none),
_MG_5439,missing_in_expert,cyclist_clothes,(none),
_MG_5439,missing_in_expert,cyclist_clothes,(none),
_MG_5439,missing_in_expert,cyclist_clothes,(none),
_MG_5439,missing_in_expert,cyclist_clothes,(none),
_MG_5439,expert_skipped_redundant_cyclist,cyclist,(skipped),
_MG_5439,missing_in_expert,competidor_number,(none),
_MG_5439,extra_in_expert,(none),cyclist_clothes,
_MG_5439,extra_in_expert,(none),competidor_number,
el_calvario_097,missing_in_expert,cyclist_clothes,(none),
el_calvario_097,missing_in_expert,cyclist_clothes,(none),
el_calvario_097,missing_in_expert,cyclist_clothes,(none),
el_calvario_097,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05315,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05315,missing_in_expert,helmet,(none),
DSC05315,missing_in_expert,cyclist_clothes,(none),
DSC05315,missing_in_expert,cyclist_clothes,(none),
DSC05315,missing_in_expert,competidor_number,(none),
DSC05315,missing_in_expert,cyclist_clothes,(none),
DSC05315,extra_in_expert,(none),competidor_number,
B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg,missing_in_expert,cyclist_clothes,(none),
B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg,expert_skipped_redundant_cyclist,cyclist,(skipped),
B857CEB6-E8F9-498C-B11A-975DD6B02FBB_1_105_c_jpeg,extra_in_expert,(none),cyclist_clothes,
DSC_0395,class_swap,cyclist,cyclist_clothes,0.611
DSC_0395,missing_in_expert,cyclist_clothes,(none),
DSC_0395,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC_0395,missing_in_expert,competidor_number,(none),
DSC_0395,missing_in_expert,cyclist_clothes,(none),
DSC_0395,missing_in_expert,cyclist_clothes,(none),
DSC_0395,extra_in_expert,(none),competidor_number,
DSC_0395,extra_in_expert,(none),competidor_number,
DSC_0395,extra_in_expert,(none),cyclist_with_bike,
DSC_0395,extra_in_expert,(none),helmet,
DSC_0395,extra_in_expert,(none),helmet,
DSC_0395,extra_in_expert,(none),cyclist_clothes,
DSC_0395,extra_in_expert,(none),cyclist_clothes,
DSC05837,class_swap,cyclist,bicycle,0.772
DSC05837,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05837,extra_in_expert,(none),helmet,
DSC05837,extra_in_expert,(none),cyclist_clothes,
DSC05837,extra_in_expert,(none),competidor_number,
P1093942,expert_skipped_redundant_cyclist,cyclist,(skipped),
P1093942,expert_skipped_redundant_cyclist,cyclist,(skipped),
P1093942,missing_in_expert,cyclist_clothes,(none),
P1093942,missing_in_expert,competidor_number,(none),
P1093942,extra_in_expert,(none),competidor_number,
DSC05741,missing_in_expert,competidor_number,(none),
DSC05741,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05741,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05741,missing_in_expert,cyclist_clothes,(none),
DSC05741,missing_in_expert,cyclist_clothes,(none),
DSC05741,missing_in_expert,cyclist_clothes,(none),
DSC05741,extra_in_expert,(none),competidor_number,
_MG_5386,missing_in_expert,cyclist_clothes,(none),
_MG_5386,expert_skipped_redundant_cyclist,cyclist,(skipped),
_MG_5386,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05479,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05479,missing_in_expert,cyclist_clothes,(none),
DSC05479,missing_in_expert,cyclist_clothes,(none),
el_calvario_013,missing_in_expert,helmet,(none),
el_calvario_013,missing_in_expert,cyclist_clothes,(none),
el_calvario_013,expert_skipped_redundant_cyclist,cyclist,(skipped),
el_calvario_013,missing_in_expert,competidor_number,(none),
el_calvario_013,extra_in_expert,(none),competidor_number,
DSC04509,missing_in_expert,helmet,(none),
DSC04509,missing_in_expert,cyclist_clothes,(none),
DSC04509,missing_in_expert,cyclist_clothes,(none),
DSC04509,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC04509,extra_in_expert,(none),cyclist_clothes,
DSC05817,expert_skipped_redundant_cyclist,cyclist,(skipped),
DSC05817,missing_in_expert,competidor_number,(none),
DSC05817,missing_in_expert,cyclist_clothes,(none),
DSC05817,missing_in_expert,cyclist_clothes,(none),
DSC05817,missing_in_expert,cyclist_clothes,(none),
DSC05817,extra_in_expert,(none),competidor_number,
