sample_a_id,sample_b_id,split_a,split_b,filename_a,filename_b,distance
69f60490725bab6cf0a37549,69f60490725bab6cf0a375e8,train,train,DSC01836_JPG.rf.36863e2d026f2c3c391c934057ca5d57.jpg,DSC01932_JPG.rf.51a8f98c6a8b8f71411f1750bcfb5bda.jpg,51.83556241442093
69f604b7725bab6cf0a3c3d6,69f60490725bab6cf0a37671,test,train,el_calvario_067_jpg.rf.fc4d2d29ef09f873cd9cf7e1e32028bb.jpg,el_calvario_041_jpg.rf.e4e8988915094a2c753473bc154abf1d.jpg,37.92505610239359
69f60490725bab6cf0a37546,69f60492725bab6cf0a3797d,train,train,DSC02028_JPG.rf.cbe8a003541ec45680fc3224ce734dab.jpg,DSC02027_JPG.rf.c2098c2eb86e9b53df35757828bbe0bf.jpg,43.84604562667066
69f60494725bab6cf0a37f91,69f6049b725bab6cf0a38dd9,train,train,DSC01818_JPG.rf.5f73259bad33746ec56a8bad2d4efa71.jpg,DSC01817_JPG.rf.f3fbe82f1784bfb5880cc63186c9f319.jpg,48.65263465220153
69f60494725bab6cf0a37f91,69f60494725bab6cf0a37e82,train,train,DSC01818_JPG.rf.5f73259bad33746ec56a8bad2d4efa71.jpg,DSC02031_JPG.rf.4f5990d08c811cd64740d28020491f39.jpg,49.61438284126214
69f60494725bab6cf0a37f91,69f6049a725bab6cf0a38d37,train,train,DSC01818_JPG.rf.5f73259bad33746ec56a8bad2d4efa71.jpg,DSC01820_JPG.rf.fa34005d78ac85f641732208c1c435e7.jpg,49.95985171241275
69f60482725bab6cf0a35659,69f60496725bab6cf0a381e4,train,train,DSC01940_JPG.rf.20a5c744a330d26e3ad79a2cfd883335.jpg,DSC01854_JPG.rf.8a2638b34660f0cbb172ecf66e504852.jpg,50.47743015424966
69f60486725bab6cf0a35f40,69f60497725bab6cf0a38533,train,train,sultana_184_jpg.rf.dfc7caa80265f195a7867597e239e29e.jpg,sultana_189_jpg.rf.386887ba1cd8f94c37f151562a9f5d82.jpg,37.06590060871205
69f60494725bab6cf0a37dc5,69f60497725bab6cf0a38652,train,train,DSC01883_JPG.rf.548ca0e04bd814d4b13fad54fccea6ae.jpg,DSC01979_JPG.rf.7c41ffaed17c0d57bbcf7c9a4ee6888d.jpg,44.56261273906051
69f60489725bab6cf0a3651b,69f60498725bab6cf0a388b6,train,train,sultana_121_jpg.rf.b99f0fb35224f6e1b591cabadea0833a.jpg,sultana_155_jpg.rf.bc111272966c14755888757292607671.jpg,29.528268284786495
69f6048f725bab6cf0a3743b,69f60499725bab6cf0a38997,train,train,el_calvario_066_jpg.rf.c6ec48eb6ec2a81ed86b45476679f0f2.jpg,el_calvario_042_jpg.rf.aca3913852f391fc173bcc59d46be3ab.jpg,35.89295862450961
69f6048e725bab6cf0a370aa,69f6049a725bab6cf0a38bc3,train,train,DSC01898_JPG.rf.a2711d1d080dabc4f46a39da1506b66e.jpg,DSC01897_JPG.rf.9e1e42d1a4ac8fc553ef696935392b90.jpg,40.21486003942092
69f60489725bab6cf0a365ae,69f6049a725bab6cf0a38d32,train,train,DSC05275_JPG.rf.eaaefef57cf632a46d1dcee67c58fe55.jpg,DSC05274_JPG.rf.8cddcab425ac6316497faa98fd10cc0a.jpg,33.752362699188645
69f60484725bab6cf0a35b42,69f6049b725bab6cf0a38dda,train,train,DSC01822_JPG.rf.a89c4350c999430b31c95a47b03ece75.jpg,DSC01821_JPG.rf.baf2202e0e110ea5adcfa761392be0eb.jpg,49.80269156173405
69f60492725bab6cf0a37acd,69f6049e725bab6cf0a3934f,train,train,DSC02036_JPG.rf.7dd76d6e988ac4037925b219d2fc39a0.jpg,DSC02034_JPG.rf.65e4bb744db34469ea3cabe966c0e20f.jpg,44.25850786047907
69f60497725bab6cf0a38651,69f6049e725bab6cf0a3938f,train,train,DSC01847_JPG.rf.3567900830f3330a68c27b13cc2de189.jpg,DSC01880_JPG.rf.5e3a9b291d2836c8917a0b541df9b433.jpg,50.19774869410493
69f60492725bab6cf0a37a81,69f604ae725bab6cf0a3ac43,train,valid,DSC05399_JPG.rf.87bbed13d9c4d8041cdd1dab72cb0782.jpg,DSC05398_JPG.rf.210d633192f65821406dc03da6fb4b26.jpg,32.761818639235535
69f604ac725bab6cf0a3a97f,69f604ae725bab6cf0a3ad83,valid,valid,sultana_110_jpg.rf.63eed70d734c033e3e0f96d784e23576.jpg,sultana_131_jpg.rf.83d18b016d160d83d3bf52de0016a00b.jpg,30.670020263804076
69f6047f725bab6cf0a350b5,69f604b0725bab6cf0a3b21c,train,valid,el_calvario_078_jpg.rf.64aff98a171880c727bc12dc95c0d90b.jpg,el_calvario_076_jpg.rf.1dbc9c98f0701ff141d2cf18f98976f0.jpg,31.936647349943765
69f60483725bab6cf0a357e6,69f604b0725bab6cf0a3b3b8,train,valid,CA39E02F-80AC-408C-89C7-902D466982E4_1_105_c_jpeg.rf.a2239d585f9f33332caa716160d41f22.jpg,56DA5D68-218D-4C56-8553-462ECA2E9F5E_1_105_c_jpeg.rf.abb0315e9deabd8322d1efb7bd2daf2a.jpg,43.450872236656984
69f60490725bab6cf0a375e2,69f604b5725bab6cf0a3bda5,train,test,sultana_148_jpg.rf.f4c08ce9002d85b440bb192984de41ed.jpg,sultana_158_jpg.rf.06eb98689689fd1cd3b5c54ab971b50f.jpg,32.506590331837764
69f604b5725bab6cf0a3bc39,69f604b6725bab6cf0a3bff7,test,test,sultana_137_jpg.rf.1b807fbaae91ff0e041023b8cf5d990e.jpg,el_calvario_095_jpg.rf.a6c7648368f8393a026e96166bd8154a.jpg,29.51892100004109
69f604ae725bab6cf0a3ae5c,69f604b7725bab6cf0a3c2b3,valid,test,DSC05378_JPG.rf.557b494a92104ad747e8771874695b22.jpg,DSC05377_JPG.rf.e14efe7a9fd26232095a960b602bfff0.jpg,30.278005164906652
